Remis|Remus
OWLS|owls
OWLs|owls
OWL|owl
O\.W\.L\.s|owls
NEWTS|newts
NEWT|newt
N\.E\.W\.T\.s|newts
WHO|who
DADA|dada
D\.A\.D\.A\.|dada
D\.A\.D\.A|dada
Siris|Sirius
Sirus|Sirius
Siruis|Sirius
Moly|Molly
Dursleys'|Dersley's
Dursleys|Dersley's
Dursely's|Dersley's
Dursley|Dersley
storey|story
godbrother|god-brother
mud-blood|mudblood
benefitted|benefited
pureblood|pure blood
Grims|Grimms
Grayback|Greyback
Veritaserum|veritahserum
wolfsbane|Wolfsbane
glamor|glamour
renervate|Renervate
beerhall|beer hall
crucio|Crucio
arrondisement|arrondissement
dragonhide|dragon-hide
Ascendent|Ascendant
schoolyear|school year
glamourous|glamorous
Severus|Sehvruhs
's'alright|sahlright
s'alright|sahlright
m'alright|em-alright
s'been|issbeen
Gr-|Grah-
mmph|hmmph
mmmph|hmmph
hmp|hmmph
&|&amp;
hm'|hmm
hm|hmm
p-please|pahplease
tutted|tuhted
cruciatus|cruciaatus
expelliarmus|expellieommous
o-one|wahone
D-dunno|duh-dunno
h-hard|huhhard
Remus'|Remus's
Sirius'|Sirius's
James'|James's
Bones'|Bones's
Hogwarts'|Hogwarts's
Regulus'|Regulus's
Lils'|Lils's
Arcturus'|Arcturus's
Apparated|Appa-rated
Apparates|Appa-rates
Apparating|Appa-rating
Apparition|Appa-raytion
Skeakeasy|Sleekeazy
Wands is|Wands are
Veratiserum|veritahserum
Erised|airisaid
you'd've|you'd have
He'd've|he'd have
Beauxbatons|beau-battons
Beauxbaton|beau-batton
Animagi|Ana-may-guy
hem hem|ahem ahem
Bellatrix|Bellatricks
boggart|bow-gart
boggarts|bow-garts
Petrificus Totalus|pah-trificus toh-tal-us
Averys|Avery's
N.E.W.T.|newt
N.E.W.T|newt
O.W.L.S.|owls
O.W.L.s|owls
O.W.L.|owl
fang|fayng
fangs|fayngs
levicorpus|levycorpus
accioed|ahkieo'd
pff|pfft
wh|wha
menstruation|menstrayshn
Griffindor|Gryffindor
gryffindors|gryffindor's
animagus|annimageus
quidditch|quid-itch
fidelius|fihdayleeus
fidelus|fihdayleeus
Fidilus|fihdayleeus
Wizengamot|Wizzengamot
thew|threw
Voldie|Voldi
grimaced|grimmuhst
ennunciating|enunciating
enunciating|enunseeating
wouldn't've|wouldn't have
couldn't've|couldn't have
fasciation|fascination
real|reel
w-wild|wuh-wild
leaped|leapt
Obscural|Obscurial
of us|of-us
judgmental|judgemental
Finite incantum|fin-e-tay incantottum
finite incantatem|fin-e-tay incantottum
Finite|fin-e-tay
absently|absintly
he reed|he red
lacciomente|lacki-o-ment-e
grindylow|grindilow
Grindly-O's|grindilows
more wound up|more wownd up
stairs wound round|stairs wownd round
wand and wound its|wand and wownd its
that wound down|that wownd down
they wound their|they wownd their
I wound up|I wownd up
Olivander|Ollivander
d-|da
MacMillion|MacMillan
Harry dove|Harry dohve
alonged|alongd
bullshite|bull-shite
claves|calves
Did you family|Did your family
batshite|bat-shite
vacuumed|vacuum'd
wound|woon'd
Voldieghost|Voldie-ghost
midair|mid-air
Er |er. 
déjà vu.|déjà vu-
Patronuses|Patronus's
leviosa|levyosa
whaddaya|what-da-ya
drily|dryly
taloned|talloned
Immobulus|Immobe-uless
entlang|entlahng
chldren|children
mit|mitt
uhuh|uh-huh
Sirius dove|Sirius dohve
I reed some of it already|I red some of it already
tightly woon'd state|tightly wownd state
R-Remus|Re Remus
M-Me|Me
James bows|James bowz
owled|owl'd
St Mungos|Saint Mungo's
St Mungo's|Saint Mungo's
St. Mungo's|Saint Mungo's
St. Mungos|Saint Mungo's
the hue not one|the hue; not one
grimaces|grimace's
Eons|E-ons
Thames|Temmms
dunno|don't know
Floo-ed|flu'd
floo|flu
flooed|flu'd
What d'you|What do you
guiding back through|guided back through
woon'd tight|wownd tight
winds|whindes
tutting|tuhting
to<strike>Sirius's</strike>his|to Sirius's. No his
R33sesPieces|Reeses Pieces
Padfoot's|Pad-foot's
muffliatoed|muffliahtoed
badarse|bad-arse
Sirius-y|Siriusey
priori incantatem|pryorie incantahtum
Prior Incantantem|pryorie incantahtum
Chapter Summary| 
magizoo|magi-zoo
Dorcas'|Dorcas's
Axus'|Axus's
Mathias'|Mathias's
Evans'|Evans's
Lucius'|Lucius's
Lucuis||Lucius
Albus'|Albus's
Mavis'|Mavis's
Rodolphus'|Rodolphus's
cariad|cari-add
cariads|cari-adds
Flamel|Fla-mel
messier|messyer
s-send|suhh-send
d-do|duh-do
c-clean|kah-clean
s-sorry|suhh-sorry
story reed to you|story red to you
Don' wan' go|Don't wanna go
Aun' Petunia|Aunt Petunia
errrrrrrrrrrrr|erh
hinkypunk|hinky-punk
Noooooooo|No
wolfjwolf|message from wolf J Wolf
imsirius|message from I'm sirius
hadn't know each other well|hadn't known each other well
Picture Sirius was in a simple black|The pictures was Sirius in a simple black
hah|ha
mon chou, c'mere|love, come here
EWWWWW|Yucky!
cos it's my birthday|cuz it's my birthday
Circe-forsaken|surs-forsaken
Grimhilde|Grimhildah
Lupin tears off down the hall|Lupin tares off down the hall
saggy|saggey
Circe's|surs's
owl-ing|ow-ling
owling|ow-ling
skims|skimes
shouldn't've|shouldn't have
you, too|you too
Lily reed it at our wedding|Lily red it at our wedding|
predestined|pre-destined
thu-Dah-thumping|thumping
resumes|re-zooms
resituates|re-situates
per se|per say
Kinglsey|Kingsley
m'boy|my boy
S'okay|it's okay
treeline|tree line
zoomies|zoomys
frisson|frison
Ouroboros|uroborus
So close|so close
tears his gaze|tares his gaze
his heart swelling is his|his heart swelling in his
laugher|laughter
echo-y|echoey
echo-ey|echoey
deja-vu|déjà vu
tsks|tisks
tsk|tisk
y-yeah|ya- yeah
Please, please, pl|Please, please, plea
what the f|what the fuh
yesyesyes|yes-yes-yes
relapsed|re-lapsed
resemblesance|resemblance
grenade|grenayd
smoosed|smooshed
Henri's|Onree's
Rebastan|Rabastan
J-James|James
I'mnot|I'm not
Siriusis the expert|Sirius is the expert
Se-cret|See-cret
Minera|Minerva
Minvera|Minerva
Amos'|Amos's
won'tbreak|won't break
pillow-y|pillowey
Am not|am not
multitasking|multi-tasking
bookended|book-ended
toothed|tooth'd
Scrimgour|Scrim-jor
Scrimgeour|Scrim-jor
Scrimgeours|Scrim-jors
Mione|Myohnee
flu-ing|fluing
Toujours Pur|Toujour Pure
outwit|out-wit
coz|cuz
Nev\.'|Nev'.
Nev\.|Nev'
\'Mione|Myohnee
d'ya|do ya
wont|won't
felicis|feeleesus
D-Dobby|Duh-Dobby
Geo-rge|George
Myrte|Myrtle
L-Lucius|'Lucius
Nevilles|Neville's
owlishly|owl-ishly
Y-You|Ya- you
wrongfooted|wrong footed
mistress'|mistress's
H-Harry|Huh Harry
Snivellus|Snivelus
T-That|That
H-horcruxes|Huh horcruxes
Voldies|Voldie's
M-Mother|Mother
Uranus'|Uranus's
throughtfully|thoughtfully
compeltely|completely
werewolves|wherewolves
werewolf|wherewolf
unused|un-used
McGongall|McGonagall
quieten|quiet
nestle|nestl
\?\.|?
Volemort|Voldemort
H-hi|Huh-hi
S-So|suhh-so
G-good|Guhh-good
G\.\.\.Good|Guhh-good
H-Happy|Huh-Happy
U-upset|Uh-upset
T-Thanks|Thuhh-Thanks
T-Thank|Thuhh-Thank
his hands either side of her|his hands on either side of her
ensuite|aan sweet
en-suite|aan sweet
en suite|aan sweet
Odgen|Ogden
sonorous|saahnerus
thim|them
Lord's Black's|Lord Black's
pretence|pre-tence
Ignotus|Ignotious
Gregorovitch|Greg-orohvitch
H-Hey|Hey, hey
Dumbedore's|Dumbledore's
Du-Dumbledore|Duh-Dumbledore
Bollocks|bahlocs
bollocking|bahloc-king
H-he|He
k-killing|kuhh-killing
V-Vol\.\.\.|Vol;
Hermoine|Hermione
Hermioen|Hermione
Zabini|Zabeeny
H-Have|Hah Have
S-Summer|suhh-summer
Rem\.|Rem;
Metamorphmagus|Metamorphmageus
Megamorphagus|Metamorphmageus
Nym|Nim
upending|up-ending
whooped|wooped
open 'em|open them
two and half weeks|two and a half weeks
soul mate reed the caption|soul mate red the caption
parasocial|pare-uh-social
The caption reed|The caption red
MandMs|M and ehms
upturned|up-turned
decaf|de-calf
slummin'|slumming
she reed me bedtime stories|she red me bedtime stories
I reed to her. We must have reed|I red to her. We must have red
Never reed it|Never red it
finished A levels|finished A. levels
Fu... ah!... uck|Fuh... ah!... uck
hands woon'd their way into|hands wownd their way into
Remus woon'd up with a chest|Remus wownd up with a chest
173 points|one hundred seventy three points
so he woon'd up staying|so he wownd up staying
limb-y|limby
Remus dove|Remus dohve
you"s|yous
martyring|martering
Things're|Things are
Marene's|Marlene's
shush, baby|hush baby
fu|fuh
with > 3|with less than 3
Emenike|Uh-minnie-kay
Lily threw a bow|Lily threw a bowe
card and reed aloud|card and red aloud
crème|cream
the bow of his lips|the bowe of his lips
y-your|yuh-your
ag h|agh
babyish|baby-ish
punish himself enou|punish himself enough
trying not smile judging|trying not to smile judging
batshit|bat shit
unscathed|un-scathed
c'mere|come here
as she reed, just as|as she red, just as
Sgt Pepper|Sgt. Pepper
t-took|tuhh-took
situa|situay
M'so|I'm so
w-wherewolf|wherewolf
thank you so mu|thank you so muh
firstie|firstey
firsties|firsteys
s'pose|suppose
stupefy s|stupefies
buoyed|buoied
Snivelus'|Snivelus's
Episkey|ihpisky
M''s|em's
keep in concealed since then|keep it concealed since then
preternatural|pretternatural
w-wolf|wuh-wolf
Padfoot-the-dog|Padfoot the dog
its|it's
Skele-Gro|Skelley-Gro
