err|uh
Euphemia|yoofeemee'uh
Euphemia's|yoofeemee'uh's
mm|Mmhmm
mmm|Mmhmm
mmmm|Mmhmm
mmmmm|Mmhmm
mhm|Mmhmm
M-Mmhmm|Mmhmm
mhms|Mmhmms
Mmmhmmm|Mmhmm
Mmh|Mmhmm
Mmhm|Mmhmm
sake|sayke
confliction|con-flic-shun
conflictions|con-flic-shuns
agape|uh-gape
accio|och-e-o
askew|uhskew
cursed|curse'd
Nagini|Nuhgheenie
swilled|swill'd
Rennervate|Renervate
uncleanliness|unclenliness
defense|dafense
ngn|ung
clientèle|client-tell
clientele|client-tell
talon|tal'en
\'Mione|Myohnee
Mione|Myohnee
S-So|suhh-so
S-s-So|suhh-suhh-so
Auror|orr'er
Aurors|orr'ers
owlery|owl-er-re
