U WILL POO|you will poo
I know that Greyback Death Eater made|I know that Greyback the Death Eater made
He had reed all about the Extension Charm|He had red all about the Extension Charm
You've only reed about them|You've only red about them
sofa and reed a whole story|sofa and red a whole story
and Luna as they reed Babbitty|and Luna as they red Babbitty
hoping against all hope that he'd reed the situation right|hoping against all hope that he'd red the situation right
THAT'S AN ACT OF WAR|That's an act of war
What presents|What prezents
echoes of kind to me on my first day in|echoes of 'kind to me on my first day' in
Uncle Fabian, and all our pa|Uncle Fabian, and all our pair
Though that wherewolf tutor is not following the sche|Though that wherewolf tutor is not following the sched
Highland whindes|Highland winds
inexplicable anxiety wind their|inexplicable anxiety whinde their
bigoted bas|bigoted bast
as we come back toge|as we come back togeth
he'd woon'd up in the gazebo|he'd wownd up in the gazebo
Oh he's a baby dra|Oh he's a baby drag
the knarl took a bite and then dove in greedily|the knarl took a bite and then dohve in greedily
as they all dove for the bed|as they all dohve for the bed
